accountsservice	23.13.9-2ubuntu6.1
accountsservice-ubuntu-schemas	0.0.7+21.10.20210712-0ubuntu3
acl	2.3.2-1build1.1
activity-log-manager	0.9.7-0ubuntu31
adduser	3.137ubuntu1
adwaita-icon-theme	46.0-1
alsa-topology-conf	1.2.5.1-2
alsa-ucm-conf	1.2.10-1ubuntu5.14
amd64-microcode	3.20251202.1ubuntu0.24.04.1
apg	2.2.3.dfsg.1-5build3
apparmor	4.0.1really4.0.1-0ubuntu0.24.04.7
apport	2.28.3-0ubuntu0.1
apport-core-dump-handler	2.28.3-0ubuntu0.1
apport-symptoms	0.25
appstream	1.0.2-1build6
apt	2.8.3
apt-utils	2.8.3
aspell	0.60.8.1-1build1
aspell-en	2020.12.07-0-1
at-spi2-common	2.52.0-1build1
at-spi2-core	2.52.0-1build1
avahi-daemon	0.8-13ubuntu6.2
avahi-utils	0.8-13ubuntu6.2
azure-vm-utils	0.6.0-4~ubuntu0.24.04.1
bamfdaemon	0.5.6+22.04.20220217-0ubuntu5
base-files	13ubuntu10.5
base-passwd	3.6.3build1
bash	5.2.21-2ubuntu4
bash-completion	1:2.11-8
bc	1.07.1-3ubuntu4
bcache-tools	1.0.8-5build1
bind9-dnsutils	1:9.18.39-0ubuntu0.24.04.7
bind9-host	1:9.18.39-0ubuntu0.24.04.7
bind9-libs:amd64	1:9.18.39-0ubuntu0.24.04.7
bluez	5.72-0ubuntu5.5
bluez-obexd	5.72-0ubuntu5.5
bolt	0.9.7-1
bpfcc-tools	0.29.1+ds-1ubuntu7
bpftrace	0.20.2-1ubuntu4.3
bsdextrautils	2.39.3-9ubuntu6.6
bsdutils	1:2.39.3-9ubuntu6.6
btrfs-progs	6.6.3-1.1build2
bubblewrap	0.9.0-1ubuntu0.1
busybox-initramfs	1:1.36.1-6ubuntu3.1
busybox-static	1:1.36.1-6ubuntu3.1
byobu	6.11-0ubuntu1.1
ca-certificates	20260601~24.04.1
ca-certificates-java	20240118
cheese-common	44.1-1build4
chrony	4.5-1ubuntu4.2
cifs-utils	2:7.0-2ubuntu0.5
cloud-guest-utils	0.33-1
cloud-init	26.1-0ubuntu1~24.04.1
cloud-initramfs-copymods	0.49~24.04.1
cloud-initramfs-dyn-netconf	0.49~24.04.1
colord	1.4.7-1build2
colord-data	1.4.7-1build2
command-not-found	23.04.0
console-setup	1.226ubuntu1.1
console-setup-linux	1.226ubuntu1.1
coreutils	9.4-3ubuntu6.3
cpio	2.15+dfsg-1ubuntu2.1
cpp	4:13.2.0-7ubuntu1
cpp-13	13.3.0-6ubuntu2~24.04.1
cpp-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
cpp-x86-64-linux-gnu	4:13.2.0-7ubuntu1
cracklib-runtime	2.9.6-5.1build2
cron	3.0pl1-184ubuntu2
cron-daemon-common	3.0pl1-184ubuntu2
cryptsetup	2:2.7.0-1ubuntu4.2
cryptsetup-bin	2:2.7.0-1ubuntu4.2
cryptsetup-initramfs	2:2.7.0-1ubuntu4.2
cups	2.4.7-1.2ubuntu7.14
cups-browsed	2.0.0-0ubuntu10.3
cups-client	2.4.7-1.2ubuntu7.14
cups-common	2.4.7-1.2ubuntu7.14
cups-core-drivers	2.4.7-1.2ubuntu7.14
cups-daemon	2.4.7-1.2ubuntu7.14
cups-filters	2.0.0-0ubuntu4.1
cups-filters-core-drivers	2.0.0-0ubuntu4.1
cups-ipp-utils	2.4.7-1.2ubuntu7.14
cups-pk-helper	0.2.6-1ubuntu8
cups-ppdc	2.4.7-1.2ubuntu7.14
cups-server-common	2.4.7-1.2ubuntu7.14
curl	8.5.0-2ubuntu10.13
dash	0.5.12-6ubuntu5
dbus	1.14.10-4ubuntu4.1
dbus-bin	1.14.10-4ubuntu4.1
dbus-daemon	1.14.10-4ubuntu4.1
dbus-session-bus-common	1.14.10-4ubuntu4.1
dbus-system-bus-common	1.14.10-4ubuntu4.1
dbus-user-session	1.14.10-4ubuntu4.1
dbus-x11	1.14.10-4ubuntu4.1
dconf-cli	0.40.0-4ubuntu0.1
dconf-gsettings-backend:amd64	0.40.0-4ubuntu0.1
dconf-service	0.40.0-4ubuntu0.1
debconf	1.5.86ubuntu1
debconf-i18n	1.5.86ubuntu1
debianutils	5.17build1
desktop-base	12.0.6+nmu1ubuntu1
desktop-file-utils	0.27-2build1
dhcpcd-base	1:10.0.6-1ubuntu3.2
dictionaries-common	1.29.7
diffutils	1:3.10-1ubuntu0.1
dirmngr	2.4.4-2ubuntu17.6
distro-info	1.7build1
distro-info-data	0.72-0ubuntu0.24.04.1
dmeventd	2:1.02.185-3ubuntu3.2
dmidecode	3.5-3ubuntu0.1
dmsetup	2:1.02.185-3ubuntu3.2
dns-root-data	2024071801~ubuntu0.24.04.1
dnsmasq-base	2.91-0ubuntu0.24.04.1
docbook-xml	4.5-12
dosfstools	4.2-1.1build1
dpkg	1.22.6ubuntu6.6
dracut-install	060+5-1ubuntu3.3
e2fsprogs	1.47.0-2.4~exp1ubuntu4.1
e2fsprogs-l10n	1.47.0-2.4~exp1ubuntu4.1
eatmydata	131-1ubuntu1
ed	1.20.1-1
efibootmgr	18-1build2
eject	2.39.3-9ubuntu6.6
elementary-xfce-icon-theme	0.19-1
emacsen-common	3.0.5
enchant-2	2.3.3-2build2
ethtool	1:6.7-1build1
evolution-data-server	3.52.3-0ubuntu1.2
evolution-data-server-common	3.52.3-0ubuntu1.2
exo-utils	4.18.0-1build4
fdisk	2.39.3-9ubuntu6.6
file	1:5.45-3build1
finalrd	9build1
findutils	4.9.0-5build1
firmware-sof-signed	2023.12.1-1ubuntu1.11
fontconfig	2.15.0-1.1ubuntu2
fontconfig-config	2.15.0-1.1ubuntu2
fonts-dejavu-core	2.37-8
fonts-dejavu-extra	2.37-8
fonts-dejavu-mono	2.37-8
fonts-droid-fallback	1:6.0.1r16-1.1build1
fonts-noto-mono	20201225-2
fonts-quicksand	0.2016-2.1
fonts-ubuntu	0.869+git20240321-0ubuntu1
fonts-ubuntu-console	0.869+git20240321-0ubuntu1
fonts-urw-base35	20200910-8
friendly-recovery	0.2.42
ftp	20230507-2build3
fuse3	3.14.0-5build1
fwupd	2.0.20-1ubuntu2~24.04.2
fwupd-signed	1.52+1.4-1
gawk	1:5.2.1-2ubuntu0.1
gcc-13-base:amd64	13.3.0-6ubuntu2~24.04.1
gcc-14-base:amd64	14.2.0-4ubuntu2~24.04.1
gcr	3.41.2-1build3
gcr4	4.2.0-5
gdisk	1.0.10-1build1
geocode-glib-common	3.26.3-6build3
gettext-base	0.21-14ubuntu2
ghostscript	10.02.1~dfsg1-0ubuntu7.8
gir1.2-atk-1.0:amd64	2.52.0-1build1
gir1.2-dbusmenu-glib-0.4:amd64	18.10.20180917~bzr492+repack1-3.1ubuntu5
gir1.2-freedesktop:amd64	1.80.1-1
gir1.2-gdkpixbuf-2.0:amd64	2.42.10+dfsg-3ubuntu3.3
gir1.2-girepository-2.0:amd64	1.80.1-1
gir1.2-glib-2.0:amd64	2.80.0-6ubuntu3.8
gir1.2-gtk-3.0:amd64	3.24.41-4ubuntu1.3
gir1.2-handy-1:amd64	1.8.3-1build2
gir1.2-harfbuzz-0.0:amd64	8.3.0-2build2
gir1.2-ibus-1.0:amd64	1.5.29-2
gir1.2-notify-0.7:amd64	0.8.3-1build2
gir1.2-packagekitglib-1.0	1.2.8-2ubuntu1.5
gir1.2-pango-1.0:amd64	1.52.1+ds-1build1
gir1.2-polkit-1.0	124-2ubuntu1.24.04.4
gir1.2-secret-1:amd64	0.21.4-1build3
git	1:2.43.0-1ubuntu7.3
git-man	1:2.43.0-1ubuntu7.3
gkbd-capplet	3.28.1-1build3
glib-networking:amd64	2.80.0-1build1
glib-networking-common	2.80.0-1build1
glib-networking-services	2.80.0-1build1
gnome-bluetooth	42~3.34.5-13build3
gnome-bluetooth-3-common	46.0-1ubuntu1
gnome-bluetooth-sendto	46.0-1ubuntu1
gnome-control-center-faces	1:46.7-0ubuntu0.24.04.6
gnome-desktop3-data	44.0-5build2
gnome-keyring	46.1-2ubuntu0.2
gnome-keyring-pkcs11:amd64	46.1-2ubuntu0.2
gnome-menus	3.36.0-1.1ubuntu3
gnome-power-manager	43.0-2build2
gnome-screensaver	3.6.1-13ubuntu4
gnome-session-bin	46.0-1ubuntu4
gnome-session-common	46.0-1ubuntu4
gnome-settings-daemon-common	46.0-1ubuntu1.24.04.1
gnome-startup-applications	46.0-1ubuntu4
gnupg	2.4.4-2ubuntu17.6
gnupg-l10n	2.4.4-2ubuntu17.6
gnupg-utils	2.4.4-2ubuntu17.6
gpg	2.4.4-2ubuntu17.6
gpg-agent	2.4.4-2ubuntu17.6
gpg-wks-client	2.4.4-2ubuntu17.6
gpgconf	2.4.4-2ubuntu17.6
gpgsm	2.4.4-2ubuntu17.6
gpgv	2.4.4-2ubuntu17.6
grep	3.11-4build1
greybird-gtk-theme	3.23.3-1
groff-base	1.23.0-3build2
grub-common	2.12-1ubuntu7.3
grub-efi-amd64-bin	2.12-1ubuntu7.3
grub-efi-amd64-signed	1.202.5+2.12-1ubuntu7.3
grub-gfxpayload-lists	0.7build2
grub-pc	2.12-1ubuntu7.3
grub-pc-bin	2.12-1ubuntu7.3
grub2-common	2.12-1ubuntu7.3
gsettings-desktop-schemas	46.1-0ubuntu1
